"$B_D \, (mT)$","$V_D \, (mV)$","$B_I \, (mT)$","$V_I \, (mV)$"
0,0.00,0,0.00
30,5.21,-30,-5.41
60,10.57,-60,-10.72
90,15.75,-90,-16.04
120,20.90,-120,-21.15
150,25.90,-150,-26.23
180,30.80,-180,-31.18
210,35.52,-210,-37.40
240,40.13,-240,-40.44
270,44.56,-270,-44.91
300,48.74,-300,-49.20
